stat,bounds,min,max,mean,median,std,var,sum,path,tile,z
number_IWP_per_pixel,"[-159.30175781250009, -159.27978515625009, 66.3354492187501, 66.3574218750001]",0.0,4.0,0.0441741943359375,0.0,0.29602869985984187,0.08763299114070833,2895.0,geotiff/WorldCRS84Quad/13/942/1076.tif,"Tile(x=942, y=1076, z=13)",13
prop_pixel_covered_by_IWP,"[-159.30175781250009, -159.27978515625009, 66.3354492187501, 66.3574218750001]",0.0,4.0,0.14101586189475673,0.0,0.42658845076947366,0.18197770632989965,9241.615525134777,geotiff/WorldCRS84Quad/13/942/1076.tif,"Tile(x=942, y=1076, z=13)",13
number_IWP_per_pixel,"[-159.30175781250009, -159.27978515625009, 66.4672851562501, 66.4892578125001]",0.0,4.0,0.02264404296875,0.0,0.21446686546067997,0.045996036380529404,1484.0,geotiff/WorldCRS84Quad/13/942/1070.tif,"Tile(x=942, y=1070, z=13)",13
prop_pixel_covered_by_IWP,"[-159.30175781250009, -159.27978515625009, 66.4672851562501, 66.4892578125001]",0.0,5.25396413621215,0.09103452164840478,0.0,0.36397332023876966,0.132476577845634,5966.038410749856,geotiff/WorldCRS84Quad/13/942/1070.tif,"Tile(x=942, y=1070, z=13)",13
number_IWP_per_pixel,"[-159.30175781250009, -159.27978515625009, 66.3354492187501, 66.3574218750001]",0.0,4.0,0.0441741943359375,0.0,0.29602869985984187,0.08763299114070833,2895.0,geotiff/WorldCRS84Quad/13/942/1076.tif,"Tile(x=942, y=1076, z=13)",13
prop_pixel_covered_by_IWP,"[-159.30175781250009, -159.27978515625009, 66.3354492187501, 66.3574218750001]",0.0,4.0,0.14101586189475673,0.0,0.42658845076947366,0.18197770632989965,9241.615525134777,geotiff/WorldCRS84Quad/13/942/1076.tif,"Tile(x=942, y=1076, z=13)",13
number_IWP_per_pixel,"[-159.30175781250009, -159.27978515625009, 66.2255859375001, 66.2475585937501]",0.0,3.0,0.0319976806640625,0.0,0.1784904447353084,0.03185883886180818,2097.0,geotiff/WorldCRS84Quad/13/942/1081.tif,"Tile(x=942, y=1081, z=13)",13
prop_pixel_covered_by_IWP,"[-159.30175781250009, -159.27978515625009, 66.2255859375001, 66.2475585937501]",0.0,4.0,0.11054515617555578,0.0,0.2706631564174319,0.07325854424184719,7244.687355121224,geotiff/WorldCRS84Quad/13/942/1081.tif,"Tile(x=942, y=1081, z=13)",13
number_IWP_per_pixel,"[-159.30175781250009, -159.27978515625009, 66.5771484375001, 66.5991210937501]",0.0,2.0,0.0179443359375,0.0,0.13514142919877364,0.018263205885887146,1176.0,geotiff/WorldCRS84Quad/13/942/1065.tif,"Tile(x=942, y=1065, z=13)",13
prop_pixel_covered_by_IWP,"[-159.30175781250009, -159.27978515625009, 66.5771484375001, 66.5991210937501]",0.0,3.894806311136823,0.055778561560666386,0.0,0.19768083538234188,0.039077712677460553,3655.5038104398323,geotiff/WorldCRS84Quad/13/942/1065.tif,"Tile(x=942, y=1065, z=13)",13
number_IWP_per_pixel,"[-159.30175781250009, -159.27978515625009, 66.1157226562501, 66.1376953125001]",0.0,2.0,0.03070068359375,0.0,0.17426561101699453,0.03036850318312645,2012.0,geotiff/WorldCRS84Quad/13/942/1086.tif,"Tile(x=942, y=1086, z=13)",13
prop_pixel_covered_by_IWP,"[-159.30175781250009, -159.27978515625009, 66.1157226562501, 66.1376953125001]",0.0,3.6305837605896993,0.08892887712032851,0.0,0.23674486047549614,0.05604812896156214,5828.0428909578495,geotiff/WorldCRS84Quad/13/942/1086.tif,"Tile(x=942, y=1086, z=13)",13
number_IWP_per_pixel,"[-159.30175781250009, -159.27978515625009, 66.4233398437501, 66.4453125000001]",0.0,6.0,0.0521697998046875,0.0,0.3953740891697081,0.15632067038677633,3419.0,geotiff/WorldCRS84Quad/13/942/1072.tif,"Tile(x=942, y=1072, z=13)",13
prop_pixel_covered_by_IWP,"[-159.30175781250009, -159.27978515625009, 66.4233398437501, 66.4453125000001]",0.0,8.0,0.1388521550837909,0.0,0.5252791920934099,0.2759182296463054,9099.81483557132,geotiff/WorldCRS84Quad/13/942/1072.tif,"Tile(x=942, y=1072, z=13)",13
